username,comment,total_like,total_reply,is_reply,reply_to,parent_comment
syaugi_hbsy,"Pak prabowo berkomitmen untuk melanjutkan semua program jokowi dan jokowi pun mengutus anaknya menjadi wakil presiden pak probowo dimna di zaman jokowi semakin hari semua bahan"" Semakin naik, BBM naik, listrik naik, air naik, pajak naik, beras dan bahan pangan dan sandang lainnya pun pada naik trus sedangkan UMR kita kecil. 
Pertanyaan saya apakah kita semua mau melanjutkan kenaikan ini semua, mau melihat keluarga kita menjerit dgn kenaikan harga"" Dan susah nya dapat lapang pekerjaan atau kita mau melakukan suatu perubahan demi kesejahteraan kita semua??? 
Ayok mikir... ☺☺☺",0,0,0,,
rudynovy,✌✌😍🥰,0,0,0,,
vediepay_,mantap bang,0,0,0,,
florahwimof,Maumere Prabowo 💯❤️❤️❤️🔥🔥🔥,0,0,0,,
danenmay,mana foto makan bareng duduk di terpalnya 😂,0,0,0,,
popijuliani6,❤️ all in prabowo gibran,0,0,0,,
adriahasmito,Aminn ya Allah semoga berkah,0,0,0,,
niputuadp,❤️❤️,0,0,0,,
need.da,✌🏻🥰,0,0,0,,
sumarnisumarni1204,🔥🔥🔥✌️,0,0,0,,
ronny_jaguar,"sorry yee.. sorry yee.. , cukup 2 periode dkung pak prbwo, krna sdh tdk brada d oposisi gak tahan jd oposisi, bisnis gak jln klo ga ada kekuasaan,  fix yakin pilih AMIN24",0,0,0,,
edwinbagas_28,✌️,0,0,0,,
salma.wati97,Pak wowo❤️,0,0,0,,
deshuu23_,Bapak Gueee✌️,0,0,0,,
ratna.yuliyanti_,"Prabowo ,Alfero pasti nya maaaantaf ...🔥🔥👏👏😍😍✌✌✌✌❤❤",0,0,0,,
dika_art_,✌️✌️,0,0,0,,
milarhyyu,ALL IN PRABOWOOO ❤️🔥,0,0,0,,
lailaasaass,MAMPIR ROROTAN DONG BANGGG,0,0,0,,
ogheltiara,Prabowo Gemoy✌✌✌✌❤️❤️,0,0,0,,
hasraaannnnn,🫰🏻🫰🏻🫰🏻,0,0,0,,
susipangemanan,Prabowo gibran,0,0,0,,
asep_narayana,❤️❤️❤️ prabowo gibran 1 putaran,0,0,0,,
rsky888_,"ᴀᴘᴀ ʏᴀɴɢ ᴅɪ ʜᴀʀᴀᴘᴋᴀɴ ᴅᴀʀɪ ᴘᴀᴋ ᴘʀᴀʙᴏᴡᴏ ᴅᴀɴ ɢɪʙʀᴀɴ, ᴋᴀʀᴇɴᴀ ᴅɪᴀ ᴅᴀʀɪ ᴍɪʟɪᴛᴇʀ ᴛᴇʀᴜꜱ ᴅɪᴀ ᴜᴅᴀʜ ʜᴇʙᴀᴛ, ʟɪᴀᴛ ᴀᴊᴀ ᴅᴇʙᴀᴛ ᴋᴇᴛɪɢᴀ ꜱᴇᴍᴀʟᴀᴍ, ᴛᴀɴʏᴀ ᴘᴀᴋ ɢᴀɴᴊᴀʀ ᴛᴇɴᴛᴀɴɢ ᴍɪʟɪᴛᴇʀ ᴅᴀɴ ᴘᴇʀᴛᴀʜᴀɴᴀɴ, ᴍᴀʟᴀʜ ɢ-ᴘʟᴀʏ ɢɪᴛᴜ. ᴘᴀᴅᴀʜᴀʟ ᴘᴀᴋ ᴘʀᴀʙᴏᴡᴏ ᴍᴀꜱɪʜ ᴍᴇɴᴅᴜᴅᴜᴋɪ ᴊᴀʙᴀᴛᴀɴ ɪᴛᴜ, ᴄᴜᴍᴀɴ ʙɪꜱᴀ ᴇᴍᴏꜱɪᴀɴ....ᴀᴘᴀʟᴀɢɪ ᴘᴀᴋ ɢɪʙʀᴀɴ,ʏɢ ᴅɪ ᴛᴀɴʏᴀ ᴘᴀᴋ ᴍᴀʜꜰᴜᴅ.. ʏɢ ᴅɪ ᴛᴀɴʏᴀ ᴀ ᴍᴀʟᴀʜ ᴊᴀᴡᴀʙ ʏᴀ ᴄ ᴅᴀɴ ᴅ. ɪɴɪ ʏɢ ᴘᴇɴᴅᴜᴋᴜɴɢ ɴᴏ.2 ᴛᴀᴍᴀᴛ ꜱᴇᴋᴏʟᴀʜ ɢᴀᴋ ꜱɪʜʜ, ᴊᴜᴊᴜʀ ꜱᴀʏᴀ ɢᴀᴋ ᴘᴇɴᴅᴜᴋᴜɴɢ 01 ᴀᴛᴀᴜ 03.. ᴛᴀᴘɪ ᴋɪᴛᴀ ʟɪᴀᴛ ᴘᴀᴋᴀɪ ᴀᴋᴀʟ ᴅᴀɴ ʟᴏɢɪᴋᴀ ᴀᴊᴀ 😊 [ ᴘᴇɴᴅᴜᴋᴜɴɢ ᴘᴇᴍɪʟᴜ ᴅᴀᴍᴀɪ 2024]",0,0,0,,
tommyjefrybuluh,LANGOWAN KARU KAMI 💪,0,0,0,,
tommyjefrybuluh,🔥🔥PRABOWO yesss💪👍✌️,0,0,0,,
zelpamitrazelpamitra,"Onde yg tuo wajah apak ko ,,lah lelah nampak mah lah butuk banya istirahat laiko Jang dipaso juo mangurus negara ko agiah lah KA yg Mudo lih,,Yo dak ,,salam aaka sehat,,amin",0,0,0,,
rinegloria_,Prabowo✌️,0,0,0,,
meonx_bgr,Mudah2an pak Prabowo diberi kekuatan pas pengumuman kalah nanti...😢😢😢,0,0,0,,
corinovita_12,Makasih bang ferouw,0,0,0,,
media_surakarta,Yg setuju anggaran kemenhan di audit Like🔥🔥🔥🔥,0,0,0,,
joopaw19,gw ketemu sama lu bang pas di depan gedung kpu.cakepan aslinya jir,0,0,0,,
farhan_aulia2,"Semoga kita akan diberi keturunan yang menyerupai junjungan yang kita inginkan baik dari segi mental, sikap, perilaku, tata krama, ilmu dan kemampuannya. Aminn",0,0,0,,
emi.utaris,✌️😍,0,0,0,,
ladybyunn,2❤️,0,0,0,,
