username,comment,total_like,total_reply,is_reply,reply_to,parent_comment
antinepot1sme,prabowo ini ada dosa apa ya? kok bodyguardnya kek takut bgt prabowo di apa apain. gacuna pas di pilpres doang.,0,0,0,,
aliandi.sofian,"Pasti isinya joged joged, curhat dan marah""....yg lebih pinter sabar adalah pendukungnya mangguk mangguk trus nangis trus joged joged deh...wooiii pd ga sadar kalian ya😂😂",0,0,0,,
yuni257ritonga_,⁰1,0,0,0,,
justyeonna_,"kumpulan parasit nya RI, Na'udzubillah..",0,0,0,,
risya_andeska,01 amin 🙏,0,0,0,,
densuhafid,Maaf sebelumnya dri segi berjalan Prabowo kaya nya lagi agak kurang fit.. ada baiknya anda jngan minta joget gemoy... Kasihan.. boleh memilih tapi tetap 01☝️❤️Amin3,0,0,0,,
ayu.anisss,Sy selalu salfok dengan mas tedd😍,0,0,0,,
ambonska24,MARI BERSAMA ANIES BASWEDAN MENUJU PERUBAHAN YANG LEBIH BAIK 🔥🔥🔥🔥🔥,1,0,0,,
cakodelkodel_fishing,Insah Allah ☝️☝️☝️ Amiiinnn 🤲🤲🤲,0,0,0,,
maymunahm210,No 2  pilihanku. ❤️❤️❤️❤️❤️❤️🔥🔥🔥🔥🔥,0,0,0,,
koto_jamal,"Pendukungnya kumpulan yg tersangkut kasus korupsi,,,, kalau kalah bahaya pada kabur semua tu,,",0,0,0,,
ilhamalaziz13,AMIN KAN AJA DULU YA KAN ☝☝☝☝,0,0,0,,
rezelhome_decor,"Pilih 02 untuk kesejahteraan pajebat, dan artis arau",0,0,0,,
narain_tovandas,Siap2 Gibran dilantik menggantikan pak Prabowo jadi presiden😂,0,0,0,,
dewi_kym22,Love u bapaaakk.... sehat selalu bapak.... all in prabowo gibran 🔥🔥❤️❤️❤️❤️❤️,0,0,0,,
lesmanabambang,bismillaah ❤️AMIN❤️,0,0,0,,
madu_thibbil_qulub,"01 Harapan Rakyat.
02 Harapan Pejabat.
03 Harapan Bunda.
Sebagai rakyat harus cerdas. Lihat rekam jejaknya serta perbanyak literasi/informasi..
Sebagai rakyat jgn mau d bodoh2in. Kehancuran negara itu ada d tangan anda masing2.",0,0,0,,
eganovi05,"Mayor nyah lucu. 😂😂😂. So gagah ..so,paling hebat. 😂😂😂",0,0,0,,
mumumumu481,Amin,0,0,0,,
santi.wardhani,Salam damai✌️,0,0,0,,
nona_pah29,✌🏼♥️🔥,0,0,0,,
whyu_85,SALAM AKAL SEHAT. 01 AMIN☝️,0,0,0,,
setya.bagus.3,owl 🦉,0,0,0,,
masbram148,,0,0,0,,
edhy_kips,🔥🔥🔥🔥,0,0,0,,
yhayani139,Waduh jalan aja kakek prabowo dah gitu mending istirahat aja sama anak cucu salam 01,0,0,0,,
irgi_06s,Desak anis menambah ilmu,0,0,0,,
diditsetiaji,"Jogeet paak,,",0,0,0,,
joglo.berkah.motor,Skip video>>>>>>>>>>,0,0,0,,
fabiobramasta75_,"Salam dua jari 02 Prabowo Gibran, menang satu putaran",0,0,0,,
sihbuning,Ttep 02 👍👍👍❤️❤️❤️,0,0,0,,
vanamin0,"ARTIS ini diajak buat Ramein gais , bukan buat menangin 😂🔥👏",0,0,0,,
lahuddin.lahuddin.75457,01 perubahan ☝️☝️☝️☝️☝️☝️,0,0,0,,
roy_abd_p,Nybolos itu enaknya di tengah,0,0,0,,
inaafynn,"pendukung sebelah ni kenapa panas wkw, seisi rumah isinya matahari doang ya?",0,0,0,,
fitrah_taher,"Dimana ada rafi disitu oengikutnya banyak.. yg penting cuaaaan , mau presidennya komeng sama hj bolot juga dipilih",0,0,0,,
asnubatsbd,Orang dungu pilih Prabowo,0,0,0,,
johnwick30030,Tetap All In Abah Anies Baswedan 👍🏽👌,0,0,0,,
eashiqalqahua,Sorry Yee... Sorry Yee...,0,0,0,,
siti_maspupah66,Prabowo Gibran 💗💗💗,0,0,0,,
ahmad.zaki.5074,Kasihan tak ada yang like 😂😂😂😂,0,0,0,,
lazirhaf.agr,Bismillah Prabowo Gibran presidenya amin,0,1,0,,
hildamrgt,@lazirhaf.agr All In ✌✌,0,0,1,lazirhaf.agr,Bismillah Prabowo Gibran presidenya amin
dwisetiawan082131663046,Pak Anis pilihanku,0,0,0,,
syah.rullah.56,Amin,0,0,0,,
makatitayvonne,Gas pol ..slm 2 Jari.didoakan sehat2 ya pak Prabowo..mas Girban dan smua keluarga,0,0,0,,
jodiisetiawaan,#SALAM PERUBAHAN 01 ☝️,0,0,0,,
yogipermadi93,All in anis bismillah☝️,0,0,0,,
yesisitepu20,Panas ya,0,0,0,,
yesisitepu20,Cie sirik ya,0,0,0,,
djmbonzmbon,"Maaf mau tanya, kalo ngemut KONTOL Mayor Teddy boleh gasi? 🥺",0,0,0,,
alamo_saja,Pilih Yang sehat jasmani dan rohani. Jgn pilih yg sudah tua dan jgn pula yg masih muda...,0,0,0,,
alamo_saja,WAKTUNYA PERUBAHAN...🔥,0,0,0,,
kajianbinjai,"Jangan ajari kami mencintai Pak Prabowo! Jauh sebelum kalian menghina Pak Prabowo dengan sebutan gemoy, kami sejak 2014 tidak pernah berani keluarkan 1 istilah apapun untuk mengantikan nama besar beliau dengan istilah berbau fisik seperti gemoy. Ke mana kalian saat itu, sedang asik bermain bola dan main boneka? Atau jadi pro Jokowi?
Jangan ajari kami untuk memaafkan Pak Prabowo! Sejak tahun 2014, kami berdamai dengan diri kami sendiri, untuk melupakan semua sejarah kelam Pak Prabowo karena satu manusia pun tidak pernah luput dari kesalahan. Kami memaafkan Pak Prabowo karena sejak tahun 2014 beliau bicara tentang bagaimana melindungi rakyat dari pemerintah yang semena-mena. Ke mana kalian saat itu, masih duduk di bangku SMP, atau menjadi Pro Jokowi?
Jangan ajarin kami membela Pak Prabowo! Tahun 2019, kami garda terdepan menyelamatkan kotak suara Pak Prabowo, 500 orang meninggal tanpa otopsi, di mana kalian saat itu? Masih sibuk coret coret baju seragam merayakan kelulusan? Atau tetap menjadi Pro Jokowi?
Jangan ajari kami tentang kejujuran dan santunnya Pak Prabowo. Tahun 2019, partai baru seumur jagung, memberikan Kebohongan Award untuk Pak Prabowo, kami perang fakta dengan partai tersebut.
Bapak dulu tidak pernah diam ketika ditanya oleh rakyat, sekarang bapak bungkam.
Bapak dulu tidak marah ketika dinilai rendah oleh rakyat, sekarang bapak murka.
Bapak dulu berjalan dengan tegap di tengah-tengah rakyat, tidak joget-joget di depan kamera. Ke mana Bapak Prabowo-ku yang dulu? 
Ohh... saya tau. Empat tahun lalu, Bapak telah menyerahkan diri bapak ke penguasa. Bapak meninggalkan kami untuk bergabung bersama dinasti. Bapak tidak sanggup menanggung suara hati kami.
Bapak menyerah. Dan sejak saat itulah, kami pun berjuang dengan cara kami sendiri. #salamperubahan01☝️",0,0,0,,
vijee_vajar,Jalan aja udah begitu pa .. istirahat aja jgn dipaksakan pak,0,0,0,,
b46l036,Selamatkan Kesehatan Pak Prabowo dgn tidak memilih Paslon 02.. All in One 01 AMIN Aamiin YRA 😍🇮🇩😍,0,0,0,,
gaza078,"para artis2 orang2 kaya pilih 02,....ayo menengah ke bawah jangan sampai klah sama orang2 berduit",0,0,0,,
devikaleidos_,Ganteng banget suamikuu,0,0,0,,
ugeng_p,Tetep 01 dihati❤️,0,0,0,,
dwi_andryan97,Oh jadi ini para pasukan lapar. Indonesia menuju makan siang gratisan😂. Mungkin nanti begini nanti klo lgi kelaparan. Pada ngumpul..,0,0,0,,
shoptherefinery.team,❤️❤️❤️❤️❤️ Bapak Prabowo 🔥🔥🔥🔥🔥🔥🔥🔥🔥,0,0,0,,
supians122467,Luar biasa pecah sekali✌️✌️✌️✌️,0,0,0,,
dean_wahyuni,01 ❤️,0,0,0,,
fikrim1st,"jalanya pincang, perutnya buncit, mukanya ke tarik😂",0,0,0,,
_ekhy06,Bjir tiap 02 kampanye badut ini selalu hadir🔥,0,0,0,,
ida_imelda77,✌️😎😎,0,0,0,,
alifmuntaha,Tetep anies lah 01🔥,0,0,0,,
rhizki00,"Naikin Gaji PEjabat,naikin PAjak Rakyat😍",0,0,0,,
iqbalkhalidh,"Pilpres kali ini pebih berat, selain memenangkan paslon 01 kita juga harus mencerdaskan sodara kita yang mendukung 02. Smngt",0,0,0,,
billal_alfatih1409,🔥🔥🔥 02,0,0,0,,
elymistati,"Para pejabat dan arti dukung 02 demi karier dan bisnis nya aman, bukan murni pro rakyat @fero_walandouw",0,0,0,,
dickysutiono,"Kapan kampanye gali masalah rakyat kaya desak Anies? Masalah rakyat macem""...",0,0,0,,
iruldickdick,"Wedan bener duit prabowo 3periode gk ada serinya tu duit.
Para artis numpuk di situ,, banyangin seorang komika mau d bayar 2M gk mau lebih membela 01. 
Lah ini artis” ternama PADA BERAPA YAAAAK😭😭😭",0,0,0,,
yeriarianto,Ikut lah,0,0,0,,
iskandarsrilangi,Tetap nomor 1 coblos 02,0,0,0,,
iskandarsrilangi,Dimana mana kampanye 02 seperti lautan manusia itu satu bukti bahwa 02 pilihan rakyat,1,0,0,,
fasdah57,01 AMIN,0,0,0,,
wp_zurako,Fero serius nih?,0,0,0,,
syafikaalyamahira,Engga wibawanya sama sekali,0,0,0,,
iinnnindrii,Knp yg lewat berandaku tentang wowo semua.....😂😂😂heran,0,0,0,,
anakbocil45,"INGAT.... UNTUK SEMUA ADA DI SINI!!!!! yang mendukung 02 itu orang tidak waras semua apalagi banyak artis yang dukung i tidak waras semua. Mereka mendukung karena bersifat anak muda dan hartanya lebih. Jangan sungkan sungkan memilih 02 karena bersifat anak muda dan hartanya lebih. JANGAN SOK GEDE DEH!!!!! kalo diteruskan 02 maupun 03 INDONESIA AKAN HANCURRRRR -Korupsi di mana-mana,- harga BBM dinaikkan,-tarif listrik dinaikkan,-pajak rumah dan sebagainya dinaikkan,-harga pangan maupun pokok dinaikkan,-gaji pejabat PNS maupun TNI POLRI dipotong. 02 sudah jelas melanggar HAM Dan melanggar aturan konstitusi lagi🔥🔥🔥. KAMI BUTUH PERUBAHAN ☝️☝️☝️☝️☝️☝️",0,0,0,,
eiskan01,"Udah pak saya kasihan melihatmu,sebaiknya istirahat dan duduk cantik saja di pangkuan pak Wiwi. Jangan dihinakan dengan jogetan ria ala oke gas! oke gas!, udah pak ntar stroke nya makin parah dunia hanya sesaat.",2,1,0,,
eiskan01,Bjirrt keren bet guweh🤭,1,0,1,eiskan01,"Udah pak saya kasihan melihatmu,sebaiknya istirahat dan duduk cantik saja di pangkuan pak Wiwi. Jangan dihinakan dengan jogetan ria ala oke gas! oke gas!, udah pak ntar stroke nya makin parah dunia hanya sesaat."
warzudd,Gaya mathi tai..😂😂😂😂😂😂😂😂😂,0,0,0,,
jdm.mobil,Gue Mending milih gusti Allah aja yang aku suka mendingan nyoblos presiden ndak jelas ndak ada gunanya negara hancur. 😡😠🤬😈👿💀☠💩,0,0,0,,
juminganmas,Tetap 01,0,0,0,,
arfan_jus,Mundur wir.... joget2 itu masuknya ke discotik bukan masuk ke istana....,0,0,0,,
herysuhery22,"Kasihan jalan aja ud susah, lebih baik istirahat aja sih",0,0,0,,
ahmadsaipulhajat0107,Kasih istirahat itu bapaknya.. kasihan... Kasih ke 01 aja udah kemenangan,0,0,0,,
4r_fun,Dateng curhat nyinyir joget bubar😂,0,0,0,,
firds_pe,Kami Mah Tetap Anis...01,0,0,0,,
realfans_dedir,Mana joget2ny,0,0,0,,
hartonotono933,Kok... Wowo gak joget..? Biasanya joget melulu,0,0,0,,
parapilotdrone,Oke gas oke gas kita dungukan negeri ini kita gas😂,0,0,0,,
balad2376,Salm dari perubahan,0,0,0,,
dionjalupamungkas,Bismilah 3 kali lostrek😂,0,0,0,,
alans_farris,Gw bingung apa yg di banggakan dr dia,0,0,0,,
muziewaranoluffy,"Yg dtng dpt baju gratis , amplop sama nasi kotak, sdh disediakan bisnya jg tinggal brgkt aja 🤭🤭🤭",0,0,0,,
max_chank,Selamat datang di Yordania pak,0,0,0,,
_mifta.tha,aduh udah udzur gitu jalan aja udah sempoyongan,1,0,0,,
rizalnindya,"Nampaknya ini bukan kampanye tapi pesta kemenangan, karena mereka sudah ""mendesain"" prosesnya",0,0,0,,
