username,comment,total_like,total_reply,is_reply,reply_to,parent_comment
igku_012,2M 😬 kalau butuh duit juga gitu kok aku untuk kampanye 5 tahun kedepan masih lama loh seandainya semua warga yang pilih dia 2M ok lah kalau cuma artis yang terjamin yaa gimana mereka duit segitu bisa sampe 5 tahun kita 250k seminggupun gak cukup 🙊,0,0,0,,
mira_alwaini,Ntar goyang2 ada yg meninggoy lagi??gk usah memaksakan lah...biasa2 ajaaa,0,0,0,,
wisalkids,ANAK MUDA ALL IN 02,1,1,0,,
wisalkids,@wisalkids JADI KETUA RT,1,0,1,wisalkids,ANAK MUDA ALL IN 02
suci.nuranisya,"Padahal buat kalian yg ga dukung / punya pilihan paslon lain yaudah silahkan kita punya hak pilih, tapi ya ga perlu komen negatif juga,",0,0,0,,
malekrisky19,"Tong kosong nyaring bunyinya,  nasehati pendukung 02 ibarat bicara sama batu",0,0,0,,
lauraa_franmwn,Menyalaa abangkuuhh✌️✌️🔥🔥,0,0,0,,
indra008,Dia siapa?,0,0,0,,
nopinurazkia,"Goyang terus...Sampe Lupa Kalau Pajak Naik,Pangan Naik,Pupuk Naik,hutan gundul....🔥",0,0,0,,
nurr.hamimahh,yg penting bukan backingan malaikat Jibril ya guyss😂,0,0,0,,
noviasyfnn,Kasian liatnya😢,0,0,0,,
mc_rizky128,"selain joget"" kalian bisa apa lagi 😂",0,0,0,,
tavfikkrf,Salam perubahan,0,0,0,,
xyz.dill,"Kampanye gak mendidik bangsa, sama kek junjungannya, jual kegemoyan",1,0,0,,
bimasaktisiregar10,Najis banget,0,0,0,,
heristrom,Kita goyangkan indonesia...,0,0,0,,
lesmanadenny2971,Bisanye joged doang...,0,0,0,,
hijriah_ramadhani_2600,Pak Prabowo selalu di hati,0,0,0,,
hijriah_ramadhani_2600,Karna Anis korupsi Ganjar sama korupsi,0,0,0,,
hijriah_ramadhani_2600,Biar pung kau pilih Anis Ganjar tetap pak Prabowo jadi presiden,0,0,0,,
iam.khilda,"Banyakin gagasan bukan joget 😌😌😌 hidup butuh perubahan bukan sekedar joget""",2,0,0,,
mayang_ananda2995,2024 all in 02,0,0,0,,
abuuwais935,Anies Baswedan presiden indonesia 2024 👏🙌 ...,0,0,0,,
herry_gezonk,"Apapun itu "" MAKAN SIANG GRATIS "" Solusinya 😂😂😂 Program GAJELAS ..GEDABRUUSS 😂😂😂😎😎😎",0,0,0,,
raihanwidi_,Wellll✌️✌️✌️,0,0,0,,
leedsar,"Bbm naik, pajak naik, gaji pejabat naik, joget gemoy solusinya....",0,0,0,,
luqman_asyari,Brp bang @fero_walandouw,0,0,0,,
abrr579,"Sudah bang sudah, yg buat postingan kena mental gara-gara semua dukung anies.",1,0,0,,
aaanndiibae_,Tambah rusak,0,0,0,,
rahmangnw0_,"Jogetin aeeee,yg penting ga jual agama.",0,0,0,,
sahabat_jeri,"Kalau mau memilih BAYI SEHAT 2024, coblos ✌️🤪",1,0,0,,
ajiilham_r,Najis,0,0,0,,
omahjajan_jkt,"“Ya Allah, sungguh kami berlindung kepada-Mu dari pemimpin yang kekanak-kanakan dan dari pemimpin yang bodoh.” (HR. Bukhari dalam Adabul Mufrad). 
Dan jangan Engkau serahkan kePemimpinan wilayah kami kepada orang yang tidak mengasihi kami.” (HR. Tirmidzi).
Bismillah Sebentar lagi PELANTIKAN AMIN PRESIDEN 2024, PUNYA IBU NEGARA PERTAMA YANG MENGENAKAN HIJAB, AAMIIN YA ALLAH.",0,0,0,,
blackdove_728,sepi job,0,0,0,,
dry_wln01,"Hey manusia moncong bebek,yang joget dia yang sebok kau endak perlu komen kalau endak suka!!!heran masih ada manusia yang pola pikir kayak lu bg,",0,0,0,,
nandofer930,"Kontestasi presiden ini wirr, bukan cari badut jalanan",0,0,0,,
ozi.syah,APAPUN ITU INSYAALLAH ANIES PRESIDEN RI 2024,0,0,0,,
zdanzhar14,Indo butuh pemimpin bukan butuh badut,0,0,0,,
imjaesya,"KETAWAIN DULU GAK SIH, PENDUKUNG ANIS GK PUNYA LAPAK SENDIRI AWOGWGWG, NYAMPAH DI LAPAK ORANG😩😩😩",0,0,0,,
indra.fajar.564,Saya dan keluarga Tetap konsisten Coblos 01 Anies Baswedan Sebagai presiden RI ❤️ Dan mengucapkan Terimaksih Buat Woo Gemoy dan Samsul yang sdh Menghibur Rakyat ❤️ Insyaallah AMIN menang satu putaran ❤️,1,0,0,,
xyzt_.t,Kampanye ny mas anis sedikit keluarkan biaya tapi banyak ilmu ini banyak keluarkan biaya ilmunya tidak ada #aminajadulu,2,0,0,,
dewi_habibi_135,"Gak ada gagasan, cuma goyang 😢",0,0,0,,
dr.billylazuardi.se.mm,Makin istiqamah mendukung Pak Anies menjadi Presiden Republik Indonesia Tahun 2024-2029,0,0,0,,
b4gus.4ri,Asik .... siap2 kebagian proyek untuk cuci uang,0,0,0,,
cmrajasah,💙,0,0,0,,
wiwit.waqza,Orang miskin mana sempat joget2.. sibuk cari sesuap nasi..,0,0,0,,
hestii_anjani,"Bebas pilih , itu hak masing2 kan punya pilihan sendiri mau 01
Mau 02 mau 03 bebas gak usah jelek'in yg lain dong toh itu pilihan masing2 mau yg suka joget mau yg suka ceramah mau yg suka apa lah bebas lah 
Toh saya pilih capres no 2 tetep dr dulu beda pilihan sama suami gak jadi perdebatan juga hak masing2 
Salam hangat dari ✌️✌️✌️✌️",1,0,0,,
najaya_pvc_gypsum,,0,0,0,,
lisayyah,Adu gagasan ❌ adu bokong✔️✔️ 😂😂 nyari presiden apa nyari Raja  Joget?,0,0,0,,
wdytrwrdni_,Senam biar sehat🤣👍🏻,0,0,0,,
chitnasanaky89,Kita butuh pemimpin bukan guru senam😂,0,0,0,,
anggerrizki_s,😮,0,0,0,,
abriyanoppier,Hahaha. Gausah bagi2 makan siang dan susu gratis. gw mah cuma ingin harga Surya kembali ke 5rb dapet 3btg..,0,0,0,,
bg_mall06,Karna ini pak Prabowo mnang...makanya Prabowo memajukan joget joget biar kedepannya banyak wanita yg jula aurat di sosmed dgn cara pamer jogetan hhhh🥵,0,0,0,,
shrenn_sdbtr,Sebelum pemilih 01 sama 03 berkomentar di ingetin dulu ya ini lapak nya prabowo,0,0,0,,
sulistiyowati1150,Mantap ✌️✌️✌️,0,0,0,,
bagusfauzhi,Isi kampanye: 1. Curhat 2. Joget 3. Lempar kaos/duit,0,0,0,,
adndkha,Joget mulu njir wkwkwk,0,0,0,,
gungyau01,"Pesta demokrasi jangan tegang tegang ,, nanti gila😬🤏🏻 #02✌️🫶🏻",0,0,0,,
_nurakin,Ehhh ada bayi gemoyyy😍😍😍😍😍,0,0,0,,
faqihamri.f,"Biar apa sih,,di acarain joget""an?gak ada kerjaan",0,0,0,,
b412_c1213_0k,Tenang makan gratis susu gratis😂,0,0,0,,
gumil4rk,Jijay,0,0,0,,
